Dummy43	-999	-999	-999	-999	-999	-999	-999	-999	-999
ISW2(YOR304W)	-2.4967	-1.57661	-0.551735	-0.019645	-2.22523	1.44902	0.513354	0.954618	4.03366
Dummy44	-999	-999	-999	-999	-999	-999	-999	-999	-999
KAR4(YCL055W)	-0.660194	2.65342	1.62489	0.997032	-0.645451	-0.048067	-0.130724	0.224206	4.98258
Dummy45	-999	-999	-999	-999	-999	-999	-999	-999	-999
LYS14(YDR034C)	-1.34522	0.030009	-0.780786	-0.83116	-3.89739	-1.25775	-3.05782	-9.89069	1.55322
Dummy46	-999	-999	-999	-999	-999	-999	-999	-999	-999
MAP1(YLR244C)	-2.46129	0.343668	-0.527403	0.388975	2.01683	3.126	-0.434634	2.48016	3.81313
Dummy47	-999	-999	-999	-999	-999	-999	-999	-999	-999
NUT1(YGL151W)	-14.4484	-10.1321	-1.29062	-1.37057	-1.83445	2.01074	-8.3428	2.93851	5.75697
Dummy48	-999	-999	-999	-999	-999	-999	-999	-999	-999
OTU1(YFL044C)	-3.77569	0.010819	-2.30046	-1.77558	-0.096144	0.493706	-0.601553	-0.133557	0.277871
Dummy49	-999	-999	-999	-999	-999	-999	-999	-999	-999
PDC2(YDR081C)	-5.23644	-1.43571	-3.33577	-3.01911	-2.7093	-1.88426	-3.54533	0.67665	1.25537
Dummy50	-999	-999	-999	-999	-999	-999	-999	-999	-999
PDR3(YBL005W)	-1.51544	0.294524	-0.252567	-0.243887	-0.516819	-0.132792	-0.432974	-1.74503	0.692176
Dummy51	-999	-999	-999	-999	-999	-999	-999	-999	-999
PMS1(YNL082W)	-1.83036	0.836729	0.890858	1.02011	0.508882	1.31376	0.782859	0.288055	0.914476
Dummy52	-999	-999	-999	-999	-999	-999	-999	-999	-999
PUF2(YPR042C)	-1.78038	-0.641371	-1.39014	-1.31068	1.57274	-1.63401	0.905147	-0.640666	0.924462
Dummy53	-999	-999	-999	-999	-999	-999	-999	-999	-999
RPH1(YER169W)	-2.51131	-0.55931	-0.091055	-0.687435	-0.801796	-1.00173	-2.14072	-0.268906	2.19612
Dummy54	-999	-999	-999	-999	-999	-999	-999	-999	-999
RTT107(YHR154W)	-5.46465	-3.85222	-5.86177	-5.61013	2.01291	-15.926	-1.46949	5.26765	4.12763
Dummy55	-999	-999	-999	-999	-999	-999	-999	-999	-999
SHE3(YBR130C)	-6.8328	3.98765	3.51984	4.03182	5.63695	-1.538	3.70307	3.31179	5.36852
Dummy56	-999	-999	-999	-999	-999	-999	-999	-999	-999
CBP1(YJL209W)	-0.091424	0.189596	-0.162647	-0.002703	1.73973	0.123391	1.09398	-1.33881	0.674468
HTZ1(YOL012C)	-0.459841	-9.29425	-1.17346	-1.3052	-4.59294	1.32621	0.721805	-7.70263	1.69102
IRC20(YLR247C)	-0.466052	0.541141	-0.173587	-0.322076	0.091361	-1.57261	-0.030425	-0.878137	0.87786
PFK2(YMR205C)	-1.32165	4.36294	3.22041	2.66374	-0.470632	1.34966	2.32033	1.36542	2.36305
RAD6(YGL058W)	-1.66162	-0.766624	-1.55951	-0.950285	-0.671138	-1.45345	-3.88505	1.41705	1.50288
MCM7(YBR202W)	-0.690251	-0.872361	-0.642442	-0.377922	-0.547331	0.52968	0.007713	-0.072658	0.443638
PHO2(YDL106C)	-1.25755	5.30726	-19.7155	-17.3163	7.25121	-41.4803	-1.28568	-1.04605	2.47389
PIP2(YOR363C)	-1.26237	-3.6631	-2.42547	-5.95489	-6.28992	-12.0141	-3.72604	-11.404	2.54834
PAF1(YBR279W)	-1.10086	0.395403	-1.45024	-0.92754	0.834531	-0.755669	-0.659041	-2.02794	1.51024
PDR8(YLR266C)	-1.12163	0.159752	-0.306409	-0.356178	0.943048	-0.109102	-1.71804	-0.566208	0.248285
MCM2(YBL023C)	-0.515912	-0.432405	0.339596	0.204021	-0.95504	0.184831	-0.165466	0.329866	0.422973
NOT3(YIL038C)	-0.86645	0.507944	-0.220886	0.230917	-1.07713	2.41622	0.290006	-4.93105	1.11394
PHD1(YKL043W)	-0.977422	-0.252794	-0.189824	-0.038371	0.040341	-1.22107	0.095179	-0.205389	0.4755
NHP6A(YPR052C)	-0.791079	-0.238379	-2.17997	-1.09567	-0.711648	-0.477757	-0.749731	-0.938557	1.31017
MED6(YHR058C)	-0.481671	-0.705161	0.302597	0.579322	-1.05755	-8.99169	-1.51755	-0.343518	0.976389
PUT3(YKL015W)	-1.10983	-0.203192	0.21736	0.453519	1.45597	-1.96415	-0.167875	0.966966	0.374391
SIP3(YNL257C)	-2.04656	3.43276	-2.25685	-2.33876	2.99618	0.268329	-4.58715	-5.31059	2.01572
SNF4(YGL115W)	-2.19144	1.11006	-1.11545	0.008726	-0.533578	0.930022	-1.57401	-0.16897	3.26076
NOT5(YPR072W)	-0.419668	-0.680445	0.648636	0.542934	1.23588	0.072231	-0.043862	0.758952	0.989922
MSS11(YMR164C)	-0.290269	0.367347	-0.87743	-1.18863	-1.33818	-2.1124	-1.68131	-1.18364	0.62101
MER1(YNL210W)	-0.10382	-0.040873	-0.235252	-0.205858	-0.174725	-0.044545	0.060058	0.149854	0.081372
IXR1(YKL032C)	0.207974	-0.136284	0.012021	-0.165781	0.09233	-0.376614	-0.16499	0.240083	0.550401
LUC7(YDL087C)	0.009681	-0.133987	0.05621	-0.060432	0.289145	0.214006	0.07704	-0.525532	0.409426
ROX1(YPR065W)	-0.986901	-0.216603	-0.785425	-0.025037	-0.309248	-1.77373	-2.80846	0.064413	1.05297
MAL13(YGR288W)	0.014203	0.07005	0.015567	0.175207	-0.104601	1.3404	0.907693	0.467065	0.218487
MCM4(YPR019W)	0.008065	-0.873112	-0.326138	-0.324445	-0.802115	-0.94097	-0.949973	-0.177217	0.267004
OAF1(YAL051W)	-0.344623	-2.11351	-3.72542	-3.13243	-0.515663	-5.67905	-3.02667	-6.37171	0.725196
MAL33(YBR297W)	0.035029	1.01151	-0.031804	-0.014405	1.14789	1.32915	0.303664	0.388768	0.750707
MOT3(YMR070W)	-0.169924	1.11582	-0.164547	0.381866	0.86332	2.70453	3.29353	2.67062	1.63017
MDS3(YGL197W)	-0.007587	-0.158757	-0.115736	-0.08237	-0.673389	-0.187053	0.042584	-0.02195	0.18575
MPT5(YGL178W)	-0.155554	0.060218	-0.015372	-0.328265	-0.666272	1.59278	0.29859	-0.349506	0.583579
MBP1(YDL056W)	0.05645	-1.87292	-6.22689	-5.59619	-1.40539	-6.23623	-0.886217	-4.39058	0.573578
MSN1(YOL116W)	-0.14364	-2.00052	-1.69239	-1.36932	2.03481	-1.05187	-0.932089	-2.87098	0.376318
RFA1(YAR007C)	-0.790751	-0.207409	-1.61149	-2.06319	-0.22749	-5.70022	-2.7689	-0.505528	0.358422
