ACO2	-0.141932	-0.0426859	-0.0523238	-0.195499	-0.229826	-0.395479	-0.336858	-0.593112	-0.55431	-0.110875	0.150128	-0.134053	-0.299995	-0.320856	-0.37569	-0.420446	-0.147341	-0.369438	-0.136236	-0.426636	-0.314339	-0.315763	-0.131616	-0.185784	-0.469334	-0.736396	-0.890412	-0.939472	0.286504	-0.350166	-0.234285	-0.854369	-1.10314	-0.922097	-0.198334	-0.212103	-0.202219	-0.983904	-1.35428	-1.78511	-0.283573	-1.5792	-0.214873	-1.44873	-0.16185	-0.0662014	-0.136915	-0.197492	-0.447186	-0.37137
ACOT11	-0.0714407	-0.105879	-0.1039	-0.229698	-0.193515	-0.424904	-0.721709	-0.889399	-0.519068	-0.136313	-0.00456629	-0.154996	-0.210422	-0.0252665	-0.195247	-0.544622	-0.120931	-0.642721	0.0412711	-0.216188	-0.00908156	-0.323109	-0.12932	-0.164091	-0.0835545	-0.515051	-0.760213	-1.0258	0.183774	-0.130561	-0.199058	-0.439633	-0.960793	-0.929024	-0.0688766	-0.20419	0.0832904	-0.951386	-1.28431	-1.75441	-0.002278	-1.47595	-0.294308	-0.978846	-0.104279	-0.0667592	-0.00118284	-0.159625	-0.346469	-0.893568
ACOT7	-0.0473832	-0.100164	0.0021701	0.0571878	0.215052	0.176323	0.325861	0.292604	0.530184	-0.0225375	0.0859126	-0.123933	-0.202532	0.0024362	-0.208454	-0.087811	0.341851	0.511228	-0.0059351	-0.248272	-0.0519206	0.538432	-0.0139313	-0.199826	-0.156697	-0.357859	-0.496888	-0.347525	0.309223	-0.21852	-0.25124	-0.656025	-0.54977	-0.418001	-0.153779	-0.194719	-0.877709	-0.896029	-1.47153	-2.01153	-0.187439	-1.08456	-0.149391	-0.674303	-0.153292	0.0520381	0.135897	-0.186036	-0.0943929	0.21497
ACOX3	-0.128906	0.0224815	-0.323703	-0.551622	-0.0770245	-0.201283	-0.37337	-1.06075	-1.65436	0.028341	-0.0628636	0.0424813	-0.0374962	-0.162841	-0.342883	-0.25741	-0.260224	-0.635698	0.100523	0.148164	-0.378455	-0.558711	-0.195373	-0.313078	-0.930539	-1.32763	-2.42689	-3.22478	-0.221649	-0.0391085	-0.166578	-0.8235	-1.36772	-1.36615	0.148494	0.192969	-1.01032	-2.05872	-3.12968	-4.41906	-0.658319	-2.87064	-0.480794	-3.2189	-0.19739	-0.119978	-0.42539	-0.814162	-2.33674	-3.57988
ACPL2	-0.120667	-0.0789836	-0.109216	-0.170374	-0.543265	-0.503604	-0.278684	-0.287426	-0.26254	-0.0653837	-0.0266044	-0.108955	-0.0444961	0.0606247	0.0470432	-0.133923	-0.118473	0.0283487	-0.0156839	-0.0332892	-0.0641498	-0.0990375	0.0861599	-0.0211654	-0.261661	-0.289519	-0.855135	-1.15478	-0.0141041	-0.0798833	0.138135	0.675703	0.72667	0.33516	-0.0661326	0.15673	-0.350707	-0.210373	-1.40118	-2.00903	-0.185495	-1.55031	-0.136828	-1.63146	0.0435691	-0.0470798	-0.156593	0.0407024	-0.690224	-1.37083
ACSL4	0.13844	0.0119405	0.0240254	-0.33755	-0.461404	0.0769138	-0.0375908	0.0731294	-0.305733	0.193403	0.253231	-0.0420275	-0.219386	-0.369283	-0.263002	0.0689265	-0.165648	0.165435	0.0726885	-0.329598	-0.239086	0.0743347	-0.0712234	0.270123	-0.543903	-0.56483	-0.86453	-1.02434	-0.0891917	-0.20804	-0.175095	-1.0247	-1.05142	-1.31464	0.217747	0.0583943	-0.673852	-1.12356	-2.32138	-2.74168	-0.352627	-2.27788	-0.0971536	-2.0948	0.0786565	0.100453	-0.45369	-0.394245	-0.809788	-0.71614
ACTB	-0.125118	-0.0806328	0.0260533	-0.254015	-0.361643	-0.071232	0.041673	-0.226889	-0.371028	0	0.0587647	0.255749	0.0239371	0.012748	-0.0854065	0	0.0223176	0.0735886	0	-0.0571799	-0.131719	0.035173	-0.216327	-0.170984	-0.36052	-0.634346	-0.888511	-0.887743	0.0761199	-0.0880162	-0.0674871	-0.631152	-0.811625	-0.804755	-0.0176539	-0.248883	-0.0668893	-0.527258	-1.25739	-1.59809	-0.289518	-1.5692	-0.268399	-1.22444	-0.216327	-0.234165	-0.214253	-0.521526	-0.699977	-0.719964
ACTG1	0.328206	0.043277	-0.119133	-0.656155	-0.56103	-0.246361	-0.682497	-0.632334	-1.26941	-0.0203592	0.111993	0.0552394	0.0178316	-0.208125	-0.105324	-0.14662	0.189495	-0.170772	-0.00542165	-0.159574	-0.105324	-0.211555	-0.0125366	0.121399	-0.0555438	-0.677139	-0.67034	-0.848814	-0.110842	0.124774	-0.0550894	-0.447311	-0.495344	-0.613998	-0.0441519	0.0320988	-0.133405	-1.05333	-1.90014	-2.26519	0.0912618	-1.68696	-0.0450853	-1.68093	-0.0125366	-0.0125366	0.14262	-0.365048	-0.681969	-1.097
ACTL6A	0.137618	0.0739996	0.0151908	-0.192289	-0.355559	-0.318536	-0.189663	-0.175126	-0.262173	-0.0885133	0.104117	-0.192752	0	0.0603412	-0.270943	-0.115397	0.0715815	0.0595646	-0.0289294	-0.0945077	-0.203618	0.0839606	-0.129198	-0.048447	-0.137612	-0.200859	-0.325248	-0.298134	0.131577	-0.143041	-0.216678	-0.436801	-0.203181	-0.16835	-0.00673665	-0.0209367	-0.53408	-0.550158	-0.997643	-0.945849	-0.117016	-0.432937	-0.159034	-0.254296	-0.0328032	-0.113696	-0.193128	-0.139707	-0.426409	-0.300706
ACTN4	-0.474431	0.0045631	-0.336154	-0.528892	-0.0346921	-0.21755	-0.451967	-0.495114	-0.424035	-0.187111	0.484938	-0.564087	-0.333921	-0.0863324	-0.457847	-0.593835	-0.123287	-0.108312	-0.259228	-0.774312	-0.201283	-0.146573	-0.173978	-0.160545	-0.649047	-1.41815	-1.41135	-1.89097	0.233254	-0.355341	-0.128723	-1.25528	-2.09471	-1.95291	0.0888733	-0.326966	-1.50151	-1.42663	-2.96378	-3.69814	-0.518037	-3.03967	-0.454887	-2.80118	-0.0819504	0.0514932	-0.189708	-0.35357	-0.979661	-1.11602
